origin,destination,count
GE,SEM,1
GEAP,SEM,1
NY,SEM,1
MOR,SEM,1
LS,SEM,2
ABO,SEM,42
ZF,SEM,45
REID,SEM,42
NEB,SEM,103
SS,SEM,273
OL,RBGD,2
ABO,RBGD,1
ZF,RBGD,2
REID,RBGD,1
NEB,RBGD,2
SS,RBGD,160
SEM,RBGD,161
OL,RBG,1
ZF,RBG,1
SS,RBG,158
SEM,RBG,159
RBGD,RBG,159
OL,GSAG,1
ZF,GSAG,1
NEB,GSAG,1
SS,GSAG,160
SEM,GSAG,163
RBGD,GSAG,159
RBG,GSAG,159
EBR,GSAG,252
HO,GSAG,92
OL,RU,178
BG,RU,241
ABO,RU,128
ZF,RU,72
REID,RU,72
NEB,RU,72
SS,RU,72
AA,RU,330
OL,MI,43
BG,MI,34
AA,MI,44
RU,MI,3
LB,MI,112
RK,MI,128
OL,WE,90
BG,WE,336
KB,WE,15
AA,WE,112
RU,WE,57
LB,WE,22
ZUE,WE,338
ZAS,WE,263
ZSTH,WE,316
ZTB,WE,74
ZOER,WE,87
ZSEB,WE,75
ZAF,WE,75
ZHDB,WE,321
ZK,WE,62
KUES,WE,62
ERLB,WE,62
HERL,WE,62
ML,WE,62
UET,WE,62
WS,WE,12
KGO,WE,62
STET,WE,242
PFZ,WE,7
FET,WE,7
IL,WE,7
EF,WE,32
DTL,WE,34
ZZ,WE,2
NH,WE,74
SH,WE,74
DOE,WE,15
TG,WE,351
BD,WE,426
OL,KLW,4
BG,KLW,250
AA,KLW,136
RU,KLW,29
LB,KLW,132
MI,KLW,1
ZUE,KLW,323
ZAS,KLW,323
ZSTH,KLW,305
ZHDB,KLW,318
STET,KLW,305
EF,KLW,20
DTL,KLW,22
NH,KLW,74
SH,KLW,74
TG,KLW,250
BD,KLW,250
WE,KLW,250
OL,SCHL,4
BG,SCHL,250
AA,SCHL,98
RU,SCHL,28
LB,SCHL,94
ZUE,SCHL,366
ZAS,SCHL,366
ZSTH,SCHL,346
ZHDB,SCHL,362
STET,SCHL,345
EF,SCHL,21
DTL,SCHL,23
NH,SCHL,74
SH,SCHL,74
TG,SCHL,250
BD,SCHL,250
WE,SCHL,250
KLW,SCHL,322
DT,SCHL,366
OL,NHOF,3
BG,NHOF,132
AA,NHOF,18
RU,NHOF,16
LB,NHOF,15
ZUE,NHOF,132
ZAS,NHOF,132
ZSTH,NHOF,127
ZHDB,NHOF,129
STET,NHOF,127
EF,NHOF,14
DTL,NHOF,15
NH,NHOF,38
SH,NHOF,38
TG,NHOF,132
BD,NHOF,132
WE,NHOF,132
KLW,NHOF,132
DT,NHOF,132
SCHL,NHOF,132
OL,GLZB,4
BG,GLZB,250
AA,GLZB,98
RU,GLZB,28
LB,GLZB,94
ZUE,GLZB,366
ZAS,GLZB,366
ZSTH,GLZB,346
ZHDB,GLZB,362
STET,GLZB,345
EF,GLZB,21
DTL,GLZB,23
NH,GLZB,74
SH,GLZB,74
TG,GLZB,250
BD,GLZB,250
WE,GLZB,250
KLW,GLZB,322
DT,GLZB,366
SCHL,GLZB,366
NHOF,GLZB,132
OL,FRI,14
GE,FRI,142
GEAP,FRI,138
NY,FRI,68
MOR,FRI,68
LS,FRI,198
ZF,FRI,94
SS,FRI,94
SEM,FRI,2
AA,FRI,5
LB,FRI,2
ZUE,FRI,87
ZOER,FRI,1
ZFH,FRI,29
PAL,FRI,118
ROM,FRI,310
OL,FF,21
VI,FF,39
BR,FF,39
EBI,FF,1
RK,FF,29
ZG,FF,60
BAA,FF,60
HGO,FF,31
ORDD,FF,31
ZUE,FF,148
ZSTH,FF,4
ZOER,FF,31
ZWOL,FF,31
ZEN,FF,31
ZWIE,FF,31
ZWIP,FF,31
ZFH,FF,144
KIL,FF,31
RUES,FF,31
TW,FF,60
EF,FF,31
BSD,FF,31
LZ,FF,29
W,FF,232
OWT,FF,100
OL,WF,21
VI,WF,39
BR,WF,39
EBI,WF,1
RK,WF,29
ZG,WF,60
BAA,WF,60
HGO,WF,31
ORDD,WF,31
ZUE,WF,148
ZSTH,WF,4
ZOER,WF,31
ZWOL,WF,31
ZEN,WF,31
ZWIE,WF,31
ZWIP,WF,31
ZFH,WF,144
KIL,WF,31
RUES,WF,31
TW,WF,60
EF,WF,31
BSD,WF,31
LZ,WF,29
W,WF,229
OWT,WF,98
FF,WF,238
OL,AW,21
VI,AW,39
BR,AW,39
ZUE,AW,79
ZSTH,AW,4
ZFH,AW,75
W,AW,95
OWT,AW,10
FF,AW,95
WF,AW,209
OL,RH,21
VI,RH,39
BR,RH,39
ZUE,RH,79
ZSTH,RH,4
ZFH,RH,75
SH,RH,77
W,RH,98
OWT,RH,10
FF,RH,98
WF,RH,212
AW,RH,209
OL,HB,97
AA,HB,5
LB,HB,5
ZUE,HB,36
ZAS,HB,35
BN,HB,86
BDF,HB,97
BG,ZSTH,242
AA,ZSTH,83
RU,ZSTH,22
LB,ZSTH,83
ZG,ZSTH,84
URD,ZSTH,98
BIR,ZSTH,98
BON,ZSTH,98
HED,ZSTH,98
AF,ZSTH,98
MTM,ZSTH,98
URDW,ZSTH,98
ZUE,ZSTH,1036
ZAS,ZSTH,444
BG,ZHDB,246
AA,ZHDB,94
RU,ZHDB,27
LB,ZHDB,94
ZG,ZHDB,87
URD,ZHDB,102
BIR,ZHDB,102
BON,ZHDB,102
HED,ZHDB,102
AF,ZHDB,102
MTM,ZHDB,102
URDW,ZHDB,102
ZUE,ZHDB,1046
ZAS,ZHDB,464
ZSTH,ZHDB,989
ZTB,ZHDB,198
ZOER,ZHDB,500
ZSEB,ZHDB,90
ZAF,ZHDB,99
ZFH,ZHDB,95
BG,STET,242
AA,STET,83
RU,STET,22
LB,STET,83
ZG,STET,6
URD,STET,6
BIR,STET,6
BON,STET,6
HED,STET,6
AF,STET,6
MTM,STET,6
URDW,STET,6
ZUE,STET,565
ZAS,STET,351
ZSTH,STET,565
ZOER,STET,114
ZHDB,STET,539
RW,STET,20
JO,STET,20
RUE,STET,20
BUB,STET,20
WZ,STET,111
UST,STET,114
NAEN,STET,102
SCWE,STET,102
DUE,STET,102
HI,STET,1
BG,EF,20
KB,EF,12
AA,EF,20
RU,EF,20
LB,EF,20
ZG,EF,81
BAA,EF,81
HGO,EF,81
ORDD,EF,81
ZUE,EF,557
ZAS,EF,80
ZSTH,EF,207
ZTB,EF,2
ZOER,EF,444
ZWOL,EF,273
ZEN,EF,273
ZWIE,EF,273
ZWIP,EF,84
ZFH,EF,87
ZHDB,EF,193
ML,EF,79
UET,EF,79
MAEN,EF,79
STAE,EF,79
UER,EF,78
RW,EF,85
WZ,EF,93
WS,EF,262
HI,EF,1
STET,EF,127
KIL,EF,272
RUES,EF,272
TW,EF,277
ORD,EF,196
HG,EF,196
WAE,EF,196
RI,EF,193
PF,EF,193
LA,EF,104
SIB,EF,93
ZB,EF,93
KN,EF,93
PFZ,EF,127
FET,EF,127
IL,EF,133
BG,DTL,22
KB,DTL,12
AA,DTL,20
RU,DTL,20
LB,DTL,20
ZUE,DTL,391
ZAS,DTL,82
ZSTH,DTL,129
ZOER,DTL,276
ZWOL,DTL,197
ZEN,DTL,197
ZWIE,DTL,197
ZHDB,DTL,111
RW,DTL,7
WZ,DTL,91
WS,DTL,262
HI,DTL,1
STET,DTL,129
KIL,DTL,196
RUES,DTL,196
TW,DTL,196
ORD,DTL,196
HG,DTL,196
WAE,DTL,196
RI,DTL,193
PF,DTL,193
LA,DTL,104
SIB,DTL,93
ZB,DTL,93
KN,DTL,91
PFZ,DTL,125
FET,DTL,125
IL,DTL,131
EF,DTL,389
BG,NH,74
ZG,NH,31
BAA,NH,31
HGO,NH,31
ORDD,NH,31
ZUE,NH,168
ZAS,NH,74
ZSTH,NH,133
ZOER,NH,94
ZWOL,NH,31
ZEN,NH,31
ZWIE,NH,31
ZWIP,NH,32
ZFH,NH,32
ZHDB,NH,136
RW,NH,5
JO,NH,5
RUE,NH,5
BUB,NH,5
WZ,NH,5
UST,NH,59
NAEN,NH,59
SCWE,NH,59
DUE,NH,59
STET,NH,133
KIL,NH,31
RUES,NH,31
TW,NH,31
EF,NH,32
BSD,NH,32
GLB,NH,62
RUEM,NH,62
OGL,NH,62
BUE,NH,63
EGL,NH,63
HUEW,NH,63
RZ,NH,63
BG,SH,74
ZG,SH,31
BAA,SH,31
HGO,SH,31
ORDD,SH,31
ZUE,SH,245
ZAS,SH,74
ZSTH,SH,133
ZOER,SH,133
ZWOL,SH,31
ZEN,SH,31
ZWIE,SH,31
ZWIP,SH,32
ZFH,SH,32
ZHDB,SH,136
RW,SH,5
JO,SH,5
RUE,SH,5
BUB,SH,5
WZ,SH,5
UST,SH,59
NAEN,SH,59
SCWE,SH,59
DUE,SH,59
STET,SH,133
KIL,SH,31
RUES,SH,31
TW,SH,31
EF,SH,32
BSD,SH,32
GLB,SH,62
RUEM,SH,62
OGL,SH,62
BUE,SH,109
EGL,SH,70
HUEW,SH,70
RZ,SH,70
NH,SH,249
BG,WGR,67
AA,WGR,27
LB,WGR,27
ZUE,WGR,133
ZAS,WGR,133
ZSTH,WGR,133
ZHDB,WGR,133
RUE,WGR,59
STET,WGR,133
TG,WGR,67
BD,WGR,67
WE,WGR,67
KLW,WGR,94
DT,WGR,133
SCHL,WGR,133
NHOF,WGR,34
GLZB,WGR,133
W,WGR,353
BG,AD,67
ZUE,AD,67
ZAS,AD,67
ZSTH,AD,67
ZHDB,AD,67
STET,AD,67
TG,AD,67
BD,AD,67
WE,AD,67
KLW,AD,67
DT,AD,67
SCHL,AD,67
NHOF,AD,34
GLZB,AD,67
W,AD,171
WGR,AD,165
BG,EL,67
ZUE,EL,67
ZAS,EL,67
ZSTH,EL,67
ZHDB,EL,67
STET,EL,67
TG,EL,67
BD,EL,67
WE,EL,67
KLW,EL,67
DT,EL,67
SCHL,EL,67
NHOF,EL,34
GLZB,EL,67
W,EL,171
WGR,EL,165
AD,EL,185
BG,OWT,2
AA,OWT,38
RU,OWT,4
LB,OWT,38
ZG,OWT,31
BAA,OWT,31
HGO,OWT,31
ORDD,OWT,31
ZUE,OWT,69
ZAS,OWT,38
ZSTH,OWT,38
ZOER,OWT,31
ZWOL,OWT,31
ZEN,OWT,31
ZWIE,OWT,31
ZWIP,OWT,31
ZFH,OWT,31
ZHDB,OWT,38
STET,OWT,38
KIL,OWT,31
RUES,OWT,31
TW,OWT,31
EF,OWT,33
DTL,OWT,2
BSD,OWT,31
TG,OWT,2
BD,OWT,2
WE,OWT,2
KLW,OWT,38
DT,OWT,38
SCHL,OWT,38
NHOF,OWT,1
GLZB,OWT,38
W,OWT,219
BG,HGT,74
ZUE,HGT,74
ZAS,HGT,74
ZSTH,HGT,74
ZHDB,HGT,74
STET,HGT,74
NH,HGT,131
SH,HGT,131
TG,HGT,74
BD,HGT,74
WE,HGT,74
KLW,HGT,74
DT,HGT,74
SCHL,HGT,74
NHOF,HGT,38
GLZB,HGT,74
W,HGT,131
BG,AN,74
ZG,AN,31
BAA,AN,31
HGO,AN,31
ORDD,AN,31
ZUE,AN,106
ZAS,AN,74
ZSTH,AN,74
ZOER,AN,32
ZWOL,AN,31
ZEN,AN,31
ZWIE,AN,31
ZWIP,AN,32
ZFH,AN,32
ZHDB,AN,74
STET,AN,74
KIL,AN,31
RUES,AN,31
TW,AN,31
EF,AN,32
BSD,AN,32
NH,AN,165
SH,AN,165
TG,AN,74
BD,AN,74
WE,AN,74
KLW,AN,74
DT,AN,74
SCHL,AN,74
NHOF,AN,38
GLZB,AN,74
W,AN,165
HGT,AN,131
BG,MTL,74
ZUE,MTL,74
ZAS,MTL,74
ZSTH,MTL,74
ZHDB,MTL,74
STET,MTL,74
NH,MTL,133
SH,MTL,133
TG,MTL,74
BD,MTL,74
WE,MTL,74
KLW,MTL,74
DT,MTL,74
SCHL,MTL,74
NHOF,MTL,38
GLZB,MTL,74
W,MTL,133
HGT,MTL,131
AN,MTL,133
KB,WS,12
URD,WS,63
BIR,WS,63
BON,WS,63
HED,WS,63
AF,WS,63
URDW,WS,63
ZUE,WS,349
ZAS,WS,124
ZOER,WS,349
ZWOL,WS,197
ZEN,WS,197
ZWIE,WS,197
RW,WS,9
JO,WS,2
RUE,WS,2
BUB,WS,2
WZ,WS,87
UST,WS,87
NAEN,WS,87
SCWE,WS,87
DUE,WS,87
KB,PFZ,7
ZUE,PFZ,125
ZAS,PFZ,20
ZSTH,PFZ,91
ZOER,PFZ,48
ZWOL,PFZ,13
ZEN,PFZ,13
ZWIE,PFZ,13
ZHDB,PFZ,83
RW,PFZ,3
JO,PFZ,1
RUE,PFZ,1
BUB,PFZ,1
WZ,PFZ,106
WS,PFZ,34
HI,PFZ,2
STET,PFZ,91
KIL,PFZ,12
RUES,PFZ,12
TW,PFZ,12
ORD,PFZ,12
HG,PFZ,12
WAE,PFZ,12
RI,PFZ,12
PF,PFZ,12
LA,PFZ,9
KN,PFZ,106
KB,FET,7
ZUE,FET,125
ZAS,FET,20
ZSTH,FET,91
ZOER,FET,48
ZWOL,FET,13
ZEN,FET,13
ZWIE,FET,13
ZHDB,FET,83
RW,FET,3
JO,FET,1
RUE,FET,1
BUB,FET,1
WZ,FET,106
WS,FET,34
HI,FET,2
STET,FET,91
KIL,FET,12
RUES,FET,12
TW,FET,12
ORD,FET,12
HG,FET,12
WAE,FET,12
RI,FET,12
PF,FET,12
LA,FET,9
KN,FET,106
PFZ,FET,140
KB,IL,7
ZUE,IL,131
ZAS,IL,20
ZSTH,IL,97
ZOER,IL,48
ZWOL,IL,13
ZEN,IL,13
ZWIE,IL,13
ZHDB,IL,83
RW,IL,3
JO,IL,1
RUE,IL,1
BUB,IL,1
WZ,IL,106
WS,IL,34
HI,IL,2
STET,IL,97
KIL,IL,12
RUES,IL,12
TW,IL,12
ORD,IL,12
HG,IL,12
WAE,IL,12
RI,IL,12
PF,IL,12
LA,IL,9
KN,IL,106
PFZ,IL,140
FET,IL,140
KB,BUE,39
ZUE,BUE,152
ZSTH,BUE,108
ZOER,BUE,152
ZHDB,BUE,113
RW,BUE,6
JO,BUE,6
RUE,BUE,6
BUB,BUE,6
WZ,BUE,20
UST,BUE,94
NAEN,BUE,94
SCWE,BUE,94
DUE,BUE,94
STET,BUE,108
KN,BUE,14
PFZ,BUE,14
FET,BUE,14
IL,BUE,14
EF,BUE,14
DTL,BUE,14
GLB,BUE,113
RUEM,BUE,99
OGL,BUE,99
KB,EGL,105
ZUE,EGL,83
ZSTH,EGL,80
ZOER,EGL,83
ZHDB,EGL,83
RW,EGL,6
JO,EGL,6
RUE,EGL,6
BUB,EGL,6
WZ,EGL,6
UST,EGL,80
NAEN,EGL,80
SCWE,EGL,80
DUE,EGL,80
STET,EGL,80
GLB,EGL,83
RUEM,EGL,83
OGL,EGL,83
BUE,EGL,157
KB,ZZ,161
BUE,ZZ,67
EGL,ZZ,133
KB,DOE,108
ZUE,DOE,12
ZAS,DOE,12
ZOER,DOE,12
WS,DOE,12
PFZ,DOE,7
FET,DOE,7
IL,DOE,7
EF,DOE,12
DTL,DOE,12
ZZ,DOE,46
GE,PTC,216
GE,VSX,238
PTC,VSX,238
GE,COP,581
PTC,COP,238
VSX,COP,260
GE,GLA,370
VSX,GLA,22
COP,GLA,362
GEAP,GLA,169
NY,GLA,368
GE,ROL,350
VSX,ROL,20
COP,ROL,349
GEAP,ROL,161
NY,ROL,349
GLA,ROL,365
GE,ALL,350
VSX,ALL,20
COP,ALL,350
GEAP,ALL,161
NY,ALL,349
GLA,ALL,349
ROL,ALL,358
GE,REN,371
VSX,REN,12
COP,REN,329
GEAP,REN,191
NY,REN,371
GLA,REN,334
ROL,REN,338
ALL,REN,474
MOR,REN,601
CHV,REN,126
COS,REN,207
BY,REN,210
GE,CU,4
VSX,CU,1
COP,CU,4
GEAP,CU,2
NY,CU,4
GLA,CU,4
ROL,CU,4
ALL,CU,45
MOR,CU,45
COS,CU,40
BY,CU,40
REN,CU,86
LS,CU,187
PU,CU,164
LTY,CU,195
GE,VV,378
VSX,VV,4
COP,VV,197
GEAP,VV,221
NY,VV,334
GLA,VV,203
ROL,VV,202
ALL,VV,242
MOR,VV,382
COS,VV,40
BY,VV,40
REN,VV,324
LS,VV,654
PU,VV,153
LTY,VV,184
CU,VV,197
GE,MX,332
COP,MX,139
GEAP,MX,214
NY,MX,276
GLA,MX,145
ROL,MX,140
ALL,MX,179
MOR,MX,319
COS,MX,39
BY,MX,39
REN,MX,260
LS,MX,522
PU,MX,142
LTY,MX,173
CU,MX,179
VV,MX,573
TOUR,MX,187
CL,MX,187
GE,VIL,114
COP,VIL,113
GEAP,VIL,35
NY,VIL,113
GLA,VIL,113
ROL,VIL,113
ALL,VIL,153
MOR,VIL,154
COS,VIL,39
BY,VIL,39
REN,VIL,193
LS,VIL,276
PU,VIL,142
LTY,VIL,173
CU,VIL,177
VV,VIL,322
TOUR,VIL,185
CL,VIL,185
MX,VIL,327
GE,AIG,322
COP,AIG,138
GEAP,AIG,213
NY,AIG,275
GLA,AIG,144
ROL,AIG,139
ALL,AIG,139
MOR,AIG,279
COS,AIG,4
BY,AIG,4
REN,AIG,185
LS,AIG,380
PU,AIG,10
LTY,AIG,14
CU,AIG,20
VV,AIG,396
TOUR,AIG,20
CL,AIG,20
MX,AIG,408
VIL,AIG,165
GE,BEX,156
COP,BEX,139
GEAP,BEX,61
NY,BEX,152
GLA,BEX,141
ROL,BEX,139
ALL,BEX,140
MOR,BEX,156
COS,BEX,4
BY,BEX,4
REN,BEX,150
LS,BEX,200
PU,BEX,9
LTY,BEX,13
CU,BEX,19
VV,BEX,217
TOUR,BEX,19
CL,BEX,19
MX,BEX,226
VIL,BEX,162
AIG,BEX,229
GE,SM,250
COP,SM,139
GEAP,SM,145
NY,SM,206
GLA,SM,144
ROL,SM,140
ALL,SM,140
MOR,SM,210
COS,SM,4
BY,SM,4
REN,SM,153
LS,SM,300
PU,SM,9
LTY,SM,13
CU,SM,19
VV,SM,318
TOUR,SM,19
CL,SM,19
MX,SM,327
VIL,SM,162
AIG,SM,330
BEX,SM,230
GE,MA,143
GEAP,MA,129
NY,MA,100
GLA,MA,6
ROL,MA,1
MOR,MA,101
REN,MA,41
LS,MA,160
VV,MA,162
MX,MA,166
AIG,MA,168
BEX,MA,30
SM,MA,343
MTH,MA,113
GE,SIO,152
GEAP,SIO,129
NY,SIO,100
GLA,SIO,6
ROL,SIO,1
MOR,SIO,101
REN,SIO,41
LS,SIO,168
VV,SIO,160
MX,SIO,175
AIG,SIO,168
BEX,SIO,30
SM,SIO,211
MTH,SIO,112
MA,SIO,340
GE,SIE,134
GEAP,SIE,122
NY,SIE,93
GLA,SIE,5
ROL,SIE,1
MOR,SIE,93
REN,SIE,38
LS,SIE,141
VV,SIE,142
MX,SIE,143
AIG,SIE,144
BEX,SIE,11
SM,SIE,186
MTH,SIE,107
MA,SIE,306
SIO,SIE,310
GE,LK,89
GEAP,LK,84
NY,LK,82
GLA,LK,2
MOR,LK,82
REN,LK,35
LS,LK,93
VV,LK,93
MX,LK,94
AIG,LK,95
BEX,LK,11
SM,LK,139
MTH,LK,107
MA,LK,228
SIO,LK,232
SIE,LK,232
GE,PAL,68
GEAP,PAL,68
NY,PAL,68
ALL,PAL,54
MOR,PAL,122
CHV,PAL,32
COS,PAL,32
BY,PAL,32
REN,PAL,86
LS,PAL,328
VV,PAL,2
ZF,PAL,92
SS,PAL,92
SEM,PAL,2
ZUE,PAL,1
GE,ROM,68
GEAP,ROM,68
NY,ROM,68
ALL,ROM,6
MOR,ROM,74
REN,ROM,6
LS,ROM,124
ZF,ROM,92
SS,ROM,92
SEM,ROM,2
ZUE,ROM,1
PAL,ROM,125
ALL,PU,41
MOR,PU,41
COS,PU,40
BY,PU,40
REN,PU,81
LS,PU,195
ALL,LTY,41
MOR,LTY,41
COS,LTY,40
BY,LTY,40
REN,LTY,81
LS,LTY,196
PU,LTY,195
ALL,TOUR,40
MOR,TOUR,40
COS,TOUR,39
BY,TOUR,39
REN,TOUR,80
LS,TOUR,148
PU,TOUR,142
LTY,TOUR,173
CU,TOUR,174
VV,TOUR,187
ALL,CL,40
MOR,CL,40
COS,CL,39
BY,CL,39
REN,CL,80
LS,CL,148
PU,CL,142
LTY,CL,173
CU,CL,174
VV,CL,187
TOUR,CL,187
ALL,MRT,8
MOR,MRT,8
REN,MRT,8
LS,MRT,74
PAL,MRT,74
FRI,MRT,78
ALL,PAY,8
MOR,PAY,8
REN,PAY,8
LS,PAY,82
PAL,PAY,115
FRI,PAY,120
MRT,PAY,109
ALL,KZ,8
MOR,KZ,8
REN,KZ,8
LS,KZ,66
PAL,KZ,66
MRT,KZ,157
PAY,KZ,95
NE,KZ,86
CF,KZ,35
CHV,COS,128
AIG,MTH,4
SM,MTH,168
VI,FIE,50
VI,BEMG,50
FIE,BEMG,66
VI,MOEL,50
FIE,MOEL,66
BEMG,MOEL,66
VI,ZERM,64
FIE,ZERM,21
BEMG,ZERM,21
MOEL,ZERM,21
VI,AND,23
FIE,AND,28
BEMG,AND,28
MOEL,AND,28
ZERM,AND,8
GOE,AND,60
ZERM,DIS,8
AND,DIS,35
CH,DIS,48
LQ,DIS,32
ILZ,DIS,36
ZF,SUHR,100
SS,EBI,141
SEM,EBI,141
RBGD,EBI,141
RBG,EBI,141
EBR,EBI,141
GSAG,EBI,141
SS,CHAM,140
SEM,CHAM,140
RBGD,CHAM,140
RBG,CHAM,140
EBR,CHAM,140
GSAG,CHAM,140
EBI,CHAM,169
RK,CHAM,281
SS,ZG,140
SEM,ZG,140
RBGD,ZG,140
RBG,ZG,140
EBR,ZG,140
GSAG,ZG,140
EBI,ZG,174
RK,ZG,445
CHAM,ZG,281
SS,BAA,122
SEM,BAA,122
RBGD,BAA,122
RBG,BAA,122
EBR,BAA,122
GSAG,BAA,122
EBI,BAA,145
RK,BAA,292
CHAM,BAA,250
ZG,BAA,386
SS,CHAA,140
SEM,CHAA,140
RBGD,CHAA,140
RBG,CHAA,140
EBR,CHAA,140
GSAG,CHAA,140
EBI,CHAA,160
RK,CHAA,267
CHAM,CHAA,267
ZG,CHAA,267
BAA,CHAA,236
LZ,CHAA,149
SS,HUZY,140
SEM,HUZY,140
RBGD,HUZY,140
RBG,HUZY,140
EBR,HUZY,140
GSAG,HUZY,140
EBI,HUZY,160
RK,HUZY,267
CHAM,HUZY,267
ZG,HUZY,267
BAA,HUZY,236
LZ,HUZY,149
CHAA,HUZY,267
SS,ZGSE,140
SEM,ZGSE,140
RBGD,ZGSE,140
RBG,ZGSE,140
EBR,ZGSE,140
GSAG,ZGSE,140
EBI,ZGSE,160
RK,ZGSE,267
CHAM,ZGSE,267
ZG,ZGSE,267
BAA,ZGSE,236
LZ,ZGSE,149
CHAA,ZGSE,267
HUZY,ZGSE,267
SS,BURN,141
SEM,BURN,141
RBGD,BURN,141
RBG,BURN,141
EBR,BURN,141
GSAG,BURN,141
EBI,BURN,162
RK,BURN,162
CHAM,BURN,161
ZG,BURN,161
BAA,BURN,136
ZUE,BURN,1
TW,BURN,1
LZ,BURN,151
CHAA,BURN,160
HUZY,BURN,160
ZGSE,BURN,160
EBR,HO,103
AA,WSEE,27
LB,WSEE,27
ZUE,WSEE,66
ZAS,WSEE,66
ZSTH,WSEE,66
ZHDB,WSEE,66
RUE,WSEE,59
STET,WSEE,66
KLW,WSEE,27
DT,WSEE,66
SCHL,WSEE,66
GLZB,WSEE,66
W,WSEE,188
WGR,WSEE,191
AA,SEU,36
RU,SEU,2
LB,SEU,36
ZUE,SEU,36
ZAS,SEU,36
ZSTH,SEU,36
ZHDB,SEU,36
STET,SEU,36
KLW,SEU,36
DT,SEU,36
SCHL,SEU,36
GLZB,SEU,36
W,SEU,117
OWT,SEU,117
AA,WWAL,36
RU,WWAL,2
LB,WWAL,36
ZUE,WWAL,36
ZAS,WWAL,36
ZSTH,WWAL,36
ZHDB,WWAL,36
STET,WWAL,36
KLW,WWAL,36
DT,WWAL,36
SCHL,WWAL,36
GLZB,WWAL,36
W,WWAL,117
OWT,WWAL,117
SEU,WWAL,117
AA,MELH,110
RU,MELH,6
LB,MELH,110
MI,MELH,1
ZUE,MELH,73
ZAS,MELH,73
ZSTH,MELH,63
ZHDB,MELH,72
STET,MELH,63
KLW,MELH,111
DT,MELH,73
SCHL,MELH,72
GLZB,MELH,72
